time,load,wind,solar,price
2025-01-01 00:00:00,47741.75,35377.75,9.5,2.16
2025-01-01 01:00:00,46867.25,35915.5,9.5,1.6
2025-01-01 02:00:00,45797.5,36381.0,9.0,0.0
2025-01-01 03:00:00,44623.5,34560.5,9.25,-0.01
2025-01-01 04:00:00,43626.0,34441.5,9.0,-0.01
2025-01-01 05:00:00,43838.5,34734.0,9.25,-0.06
2025-01-01 06:00:00,43176.0,36477.25,10.5,-0.09
2025-01-01 07:00:00,43525.0,37399.75,12.5,-0.01
2025-01-01 08:00:00,45659.0,38080.5,723.5,-0.01
2025-01-01 09:00:00,47680.0,36691.0,4051.75,-0.04
2025-01-01 10:00:00,50088.25,38263.25,7913.0,-0.03
2025-01-01 11:00:00,52089.5,37769.25,11146.75,-0.1
2025-01-01 12:00:00,53127.75,38786.25,12110.5,-0.05
2025-01-01 13:00:00,51859.0,40306.75,10659.25,-0.1
2025-01-01 14:00:00,50763.0,42055.5,7043.0,-1.01
2025-01-01 15:00:00,51838.0,45874.75,2772.75,-0.01
2025-01-01 16:00:00,53929.75,46620.5,192.75,-0.01
2025-01-01 17:00:00,55772.25,48571.5,19.25,0.07
2025-01-01 18:00:00,55923.75,48003.0,14.5,1.01
2025-01-01 19:00:00,54756.25,46835.25,12.25,1.48
2025-01-01 20:00:00,52526.5,46653.75,12.5,1.0
2025-01-01 21:00:00,50685.75,45400.75,11.25,0.07
2025-01-01 22:00:00,48596.0,43516.75,10.0,10.05
2025-01-01 23:00:00,46001.75,43727.25,9.75,7.01
2025-01-02 00:00:00,44101.5,41770.5,8.5,2.55
2025-01-02 01:00:00,42051.75,40984.5,6.5,1.56
2025-01-02 02:00:00,41234.5,39350.75,6.0,3.45
2025-01-02 03:00:00,41547.5,38137.5,6.5,7.02
2025-01-02 04:00:00,42063.0,35820.0,6.0,12.75
2025-01-02 05:00:00,44061.75,34387.5,6.0,30.07
2025-01-02 06:00:00,49523.0,33835.25,6.25,67.13
2025-01-02 07:00:00,53621.5,30969.25,8.25,98.83
2025-01-02 08:00:00,57052.0,27788.75,191.5,121.53
2025-01-02 09:00:00,59258.5,24431.75,1609.0,127.23
2025-01-02 10:00:00,59896.0,20282.75,4077.75,126.35
2025-01-02 11:00:00,60934.25,18085.5,6173.0,119.97
2025-01-02 12:00:00,61626.75,17182.75,6704.75,115.95
2025-01-02 13:00:00,61145.5,17332.0,5859.25,113.9
2025-01-02 14:00:00,59869.5,16448.0,3569.25,122.21
2025-01-02 15:00:00,59600.5,16763.25,1084.25,130.11
2025-01-02 16:00:00,60662.5,18150.0,53.0,138.59
2025-01-02 17:00:00,62803.5,20736.75,22.5,152.87
2025-01-02 18:00:00,62897.0,21514.25,25.75,152.94
2025-01-02 19:00:00,61916.0,23765.25,17.5,139.15
2025-01-02 20:00:00,58895.0,24816.5,8.0,130.0
2025-01-02 21:00:00,56334.0,24718.75,6.0,119.78
2025-01-02 22:00:00,54131.0,25011.0,7.75,113.42
2025-01-02 23:00:00,50779.75,25120.0,7.5,82.47
2025-01-03 00:00:00,47627.5,25038.0,6.75,99.56
2025-01-03 01:00:00,45932.5,25224.0,7.5,87.53
2025-01-03 02:00:00,45574.5,26341.75,6.5,85.01
2025-01-03 03:00:00,45858.25,26653.0,8.25,83.79
2025-01-03 04:00:00,47150.75,28355.25,8.75,77.5
2025-01-03 05:00:00,49193.75,29698.5,9.25,79.88
2025-01-03 06:00:00,52651.5,31965.0,14.25,83.56
2025-01-03 07:00:00,56063.25,32991.0,18.75,78.43
2025-01-03 08:00:00,59124.0,34962.75,175.25,82.57
2025-01-03 09:00:00,60690.5,35719.25,1603.25,80.76
2025-01-03 10:00:00,61872.5,36153.5,4113.0,77.64
2025-01-03 11:00:00,62822.25,37164.0,6249.25,70.48
2025-01-03 12:00:00,63411.25,36781.0,6560.0,69.94
2025-01-03 13:00:00,62371.5,36374.5,5877.0,77.8
2025-01-03 14:00:00,62046.75,36679.0,3943.5,78.81
2025-01-03 15:00:00,62152.5,36055.5,1574.5,85.29
2025-01-03 16:00:00,63092.5,35545.0,115.25,105.51
2025-01-03 17:00:00,65361.75,34691.25,10.75,116.66
2025-01-03 18:00:00,64411.0,32968.75,13.25,115.06
2025-01-03 19:00:00,62883.25,33039.25,9.0,114.91
2025-01-03 20:00:00,60086.0,32665.0,7.25,113.3
2025-01-03 21:00:00,58168.5,32338.25,7.25,107.8
2025-01-03 22:00:00,55472.25,30155.0,8.5,98.22
2025-01-03 23:00:00,52747.75,28010.0,8.5,88.57
2025-01-04 00:00:00,50248.0,26199.0,8.25,90.43
2025-01-04 01:00:00,48370.5,24247.0,7.25,90.29
2025-01-04 02:00:00,46208.5,20986.25,7.25,90.2
2025-01-04 03:00:00,45090.0,17778.5,7.0,91.52
2025-01-04 04:00:00,44312.25,15295.75,6.75,95.95
2025-01-04 05:00:00,44038.25,12424.75,6.5,102.11
2025-01-04 06:00:00,45084.75,11220.25,8.25,110.66
2025-01-04 07:00:00,47136.25,10288.25,8.25,119.96
2025-01-04 08:00:00,50505.75,10068.75,295.0,128.39
2025-01-04 09:00:00,53599.0,10133.5,1954.0,130.75
2025-01-04 10:00:00,55556.0,9780.5,4070.0,130.34
